timestamp,views
2023-06-07,10443
2023-06-08,10300
2023-06-09,9071
2023-06-10,8200
2023-06-11,8039
2023-06-12,9089
2023-06-13,9434
2023-06-14,18389
2023-06-15,18113
2023-06-16,16136
2023-06-17,13553
2023-06-18,14602
2023-06-19,13175
2023-06-20,9053
2023-06-21,10418
2023-06-22,9107
2023-06-23,8176
2023-06-24,6496
2023-06-25,6348
2023-06-26,8641
2023-06-27,8447
2023-06-28,7952
2023-06-29,12669
2023-06-30,7098
2023-07-01,6302
2023-07-02,6578
2023-07-03,8097
2023-07-04,8497
2023-07-05,9416
2023-07-06,10353
2023-07-07,10065
2023-07-08,9144
2023-07-09,8920
2023-07-10,10941
2023-07-11,12755
2023-07-12,12111
2023-07-13,12905
2023-07-14,11430
2023-07-15,9567
2023-07-16,9668
2023-07-17,11523
2023-07-18,15438
2023-07-19,19225
2023-07-20,18261
2023-07-21,16747
2023-07-22,14664
2023-07-23,14848
2023-07-24,17729
2023-07-25,13032
2023-07-26,12468
2023-07-27,11608
2023-07-28,10703
2023-07-29,9308
2023-07-30,9477
2023-07-31,11819
2023-08-01,12014
2023-08-02,12026
2023-08-03,11624
2023-08-04,11018
2023-08-05,9589
2023-08-06,9702
2023-08-07,11637
2023-08-08,11779
2023-08-09,11973
2023-08-10,18402
2023-08-11,11387
2023-08-12,11174
2023-08-13,12578
2023-08-14,17678
2023-08-15,18067
2023-08-16,19106
2023-08-17,17763
2023-08-18,14741
2023-08-19,11733
2023-08-20,11035
2023-08-21,14613
2023-08-22,16059
2023-08-23,16072
2023-08-24,14254
2023-08-25,13990
2023-08-26,11607
2023-08-27,11367
2023-08-28,12940
2023-08-29,15828
2023-08-30,12032
2023-08-31,12701
2023-09-01,12979
2023-09-02,12116
2023-09-03,12528
2023-09-04,14387
2023-09-05,14230
2023-09-06,14374
2023-09-07,13917
2023-09-08,14676
2023-09-09,11608
2023-09-10,11614
2023-09-11,14329
2023-09-12,14086
2023-09-13,13373
2023-09-14,13501
2023-09-15,13711
2023-09-16,12095
2023-09-17,11027
2023-09-18,13253
2023-09-19,13580
2023-09-20,14511
2023-09-21,13634
2023-09-22,11877
2023-09-23,11733
2023-09-24,11175
2023-09-25,11718
2023-09-26,11227
2023-09-27,9798
2023-09-28,9675
2023-09-29,8478
2023-09-30,7031
2023-10-01,7439
2023-10-02,8765
2023-10-03,9361
2023-10-04,10160
2023-10-05,9237
2023-10-06,8225
2023-10-07,9171
2023-10-08,6712
2023-10-09,9332
2023-10-10,9117
2023-10-11,9245
2023-10-12,9659
2023-10-13,8481
2023-10-14,7361
2023-10-15,7387
2023-10-16,9147
2023-10-17,9282
2023-10-18,9492
2023-10-19,10017
2023-10-20,8192
2023-10-21,7456
2023-10-22,7260
2023-10-23,8314
2023-10-24,8365
2023-10-25,9127
2023-10-26,11244
2023-10-27,8849
2023-10-28,6852
2023-10-29,6932
2023-10-30,9995
2023-10-31,9384
2023-11-01,9165
2023-11-02,10221
2023-11-03,12662
2023-11-04,11259
2023-11-05,10027
2023-11-06,48757
2023-11-07,10758
2023-11-08,11160
2023-11-09,11088
2023-11-10,8662
2023-11-11,6383
2023-11-12,6620
2023-11-13,9752
2023-11-14,9835
2023-11-15,10954
2023-11-16,9703
2023-11-17,10048
2023-11-18,10813
2023-11-19,14012
2023-11-20,13392
2023-11-21,9832
2023-11-22,9518
2023-11-23,8990
2023-11-24,8609
2023-11-25,7436
2023-11-26,6757
2023-11-27,8960
2023-11-28,8496
2023-11-29,9742
2023-11-30,9987
2023-12-01,8942
2023-12-02,11020
2023-12-03,10771
2023-12-04,13246
2023-12-05,15411
2023-12-06,14521
2023-12-07,14148
2023-12-08,11507
2023-12-09,9582
2023-12-10,9696
2023-12-11,11978
2023-12-12,12854
2023-12-13,13574
2023-12-14,12684
2023-12-15,10468
2023-12-16,8733
2023-12-17,7437
2023-12-18,10023
2023-12-19,11956
2023-12-20,13408
2023-12-21,15182
2023-12-22,14384
2023-12-23,27493
2023-12-24,8375
2023-12-25,8592
2023-12-26,9471
2023-12-27,10122
2023-12-28,10070
2023-12-29,9698
2023-12-30,9005
2023-12-31,8206
2024-01-01,8763
