timestamp,views
2022-05-23,933
2022-05-24,891
2022-05-25,850
2022-05-26,883
2022-05-27,648
2022-05-28,683
2022-05-29,713
2022-05-30,815
2022-05-31,884
2022-06-01,758
2022-06-02,768
2022-06-03,669
2022-06-04,617
2022-06-05,567
2022-06-06,960
2022-06-07,938
2022-06-08,880
2022-06-09,866
2022-06-10,767
2022-06-11,648
2022-06-12,781
2022-06-13,1137
2022-06-14,1119
2022-06-15,986
2022-06-16,807
2022-06-17,745
2022-06-18,575
2022-06-19,646
2022-06-20,942
2022-06-21,836
2022-06-22,861
2022-06-23,905
2022-06-24,694
2022-06-25,607
2022-06-26,654
2022-06-27,1017
2022-06-28,1173
2022-06-29,897
2022-06-30,722
2022-07-01,691
2022-07-02,538
2022-07-03,602
2022-07-04,841
2022-07-05,827
2022-07-06,757
2022-07-07,781
2022-07-08,786
2022-07-09,553
2022-07-10,762
2022-07-11,674
2022-07-12,712
2022-07-13,882
2022-07-14,781
2022-07-15,678
2022-07-16,580
2022-07-17,609
2022-07-18,658
2022-07-19,712
2022-07-20,739
2022-07-21,769
2022-07-22,708
2022-07-23,700
2022-07-24,657
2022-07-25,851
2022-07-26,868
2022-07-27,863
2022-07-28,882
2022-07-29,962
2022-07-30,658
2022-07-31,600
2022-08-01,835
2022-08-02,823
2022-08-03,811
2022-08-04,769
2022-08-05,825
2022-08-06,597
2022-08-07,597
2022-08-08,831
2022-08-09,745
2022-08-10,755
2022-08-11,779
2022-08-12,682
2022-08-13,561
2022-08-14,579
2022-08-15,720
2022-08-16,866
2022-08-17,813
2022-08-18,727
2022-08-19,810
2022-08-20,687
2022-08-21,693
2022-08-22,768
2022-08-23,1068
2022-08-24,825
2022-08-25,799
2022-08-26,759
2022-08-27,601
2022-08-28,573
2022-08-29,711
2022-08-30,804
2022-08-31,814
2022-09-01,874
2022-09-02,721
2022-09-03,551
2022-09-04,665
2022-09-05,724
2022-09-06,767
2022-09-07,906
2022-09-08,848
2022-09-09,771
2022-09-10,681
2022-09-11,716
2022-09-12,889
2022-09-13,1000
2022-09-14,993
2022-09-15,976
2022-09-16,994
2022-09-17,748
2022-09-18,740
2022-09-19,1104
2022-09-20,1122
2022-09-21,1167
2022-09-22,1018
2022-09-23,889
2022-09-24,800
2022-09-25,700
2022-09-26,909
2022-09-27,1101
2022-09-28,863
2022-09-29,901
2022-09-30,829
2022-10-01,755
